shot_id,shot_made_flag
1,0
8,1
17,0
20,1
33,0
34,1
35,1
36,1
37,0
38,0
45,1
50,0
55,1
60,0
66,0
67,0
71,0
80,0
85,0
86,1
95,1
104,1
113,0
123,0
126,1
133,0
141,1
144,0
150,0
152,1
153,0
156,0
159,1
165,1
172,0
182,0
192,0
193,0
196,1
202,1
210,0
211,1
228,1
257,1
260,1
264,1
267,1
279,1
282,1
293,0
299,1
300,1
301,1
317,1
327,0
328,0
335,0
346,0
348,0
365,0
390,1
391,1
392,1
397,0
418,0
428,0
434,1
439,1
440,1
456,0
459,0
472,1
480,0
491,1
497,1
509,0
511,0
523,0
533,0
544,0
546,0
555,1
558,1
560,0
573,0
591,1
596,1
597,1
601,0
605,0
617,0
628,0
634,1
646,1
649,1
651,1
654,1
656,0
657,1
669,0
670,0
693,1
694,0
699,0
711,0
718,0
722,0
723,0
725,1
734,1
735,1
737,1
746,1
747,1
766,0
767,1
771,1
773,0
774,0
783,1
784,0
789,0
792,0
804,1
809,1
812,0
813,0
817,0
820,1
825,0
826,0
829,0
855,0
859,1
862,0
870,0
876,1
880,0
886,1
889,1
891,0
897,1
902,0
903,0
908,0
909,0
920,0
922,0
924,0
932,1
934,1
937,0
941,0
943,0
950,0
952,0
954,0
963,0
975,0
979,1
981,0
983,0
985,1
989,1
995,0
998,0
1008,0
1019,1
1023,1
1026,1
1029,1
1034,1
1036,0
1038,0
1039,1
1051,0
1052,0
1066,0
1087,0
1092,1
1094,1
1098,0
1099,0
1102,0
1118,0
1131,0
1133,1
1135,1
1138,0
1139,1
1142,1
1151,1
1152,0
1155,0
1165,0
1167,1
1172,1
1174,0
1180,0
1200,1
1202,1
1227,1
1228,0
1229,0
1237,1
1241,0
1256,0
1279,0
1293,1
1295,1
1319,0
1320,0
1321,1
1322,0
1334,0
1351,1
1373,0
1375,0
1380,0
1382,0
1385,0
1399,1
1403,0
1428,0
1434,0
1444,1
1448,0
1466,1
1476,1
1478,1
1485,1
1491,0
1494,1
1500,1
1501,0
1503,0
1519,0
1524,0
1529,0
1533,1
1538,1
1539,0
1546,1
1555,1
1559,1
1563,0
1565,1
1574,0
1591,0
1594,0
1605,0
1611,1
1614,0
1620,1
1626,0
1630,0
1632,0
1634,1
1643,0
1651,1
1655,1
1658,0
1659,1
1665,0
1675,1
1680,1
1690,0
1696,1
1714,1
1721,1
1726,1
1728,0
1734,0
1735,0
1740,1
1744,1
1747,0
1752,0
1763,1
1765,0
1769,1
1785,1
1787,0
1788,0
1793,0
1800,0
1825,1
1826,1
1834,0
1843,0
1844,0
1848,0
1849,0
1860,0
1863,0
1875,1
1883,0
1890,1
1892,1
1893,1
1897,1
1905,0
1908,0
1931,1
1940,1
1943,1
1947,0
1965,1
1967,1
1968,1
1972,1
1982,0
1985,0
2005,0
2010,0
2021,0
2024,1
2036,1
2043,1
2047,1
2049,0
2055,0
2065,0
2066,1
2070,1
2077,1
2085,0
2095,1
2097,1
2108,0
2112,1
2113,1
2122,0
2139,0
2144,1
2146,0
2148,0
2149,0
2157,0
2159,1
2168,1
2176,1
2178,1
2181,0
2187,0
2188,0
2190,0
2194,0
2197,0
2214,1
2217,1
2222,0
2223,1
2226,1
2230,1
2240,0
2247,0
2250,1
2259,0
2262,0
2266,0
2305,0
2310,1
2313,0
2319,1
2320,1
2345,0
2350,1
2356,0
2360,1
2370,1
2386,0
2398,0
2414,1
2435,1
2439,0
2446,1
2458,1
2465,1
2466,0
2470,0
2495,1
2501,1
2507,0
2533,0
2537,1
2538,0
2541,0
2542,1
2544,1
2554,0
2555,0
2565,0
2575,1
2586,0
2588,0
2594,1
2617,1
2618,0
2623,1
2631,1
2640,0
2642,0
2647,1
2663,0
2664,0
2676,1
2680,1
2681,1
2691,0
2693,0
2695,0
2704,0
2708,0
2709,1
2717,1
2722,1
2728,0
2732,0
2743,0
2752,0
2757,1
2761,0
2769,0
2771,1
2774,0
2776,1
2781,0
2793,0
2799,0
2803,0
2811,1
2818,0
2824,1
2828,1
2829,0
2830,0
2842,0
2847,0
2848,1
2868,1
2870,0
2885,0
2886,0
2889,1
2903,0
2904,1
2918,1
2919,1
2922,0
2923,0
2931,0
2945,1
2955,0
2957,1
2960,1
2963,1
2966,1
2972,1
2974,0
2982,1
2984,1
3016,1
3021,0
3023,1
3025,1
3029,0
3034,1
3038,0
3040,0
3051,1
3062,0
3069,0
3071,1
3076,1
3079,0
3081,0
3082,0
3084,1
3098,0
3104,0
3105,0
3114,1
3118,1
3122,1
3132,0
3138,0
3141,0
3156,1
3162,1
3167,0
3170,1
3171,0
3172,0
3176,1
3180,0
3189,1
3198,0
3206,0
3215,1
3222,1
3228,1
3229,0
3232,1
3233,0
3238,0
